Designator,Val,Package,Mid X (mm),Mid Y (mm),Rotation,Layer
D1,SK9822-2020,LED_SK9822_2020Metric,5.0,18.00,0.0,Top
C1,100nF,C_0402_1005Metric,2.2,18.00,90.0,Top
D2,SK9822-2020,LED_SK9822_2020Metric,5.0,20.50,0.0,Top
C2,100nF,C_0402_1005Metric,2.2,20.50,90.0,Top
D3,SK9822-2020,LED_SK9822_2020Metric,5.0,23.00,0.0,Top
C3,100nF,C_0402_1005Metric,2.2,23.00,90.0,Top
D4,SK9822-2020,LED_SK9822_2020Metric,5.0,25.50,0.0,Top
C4,100nF,C_0402_1005Metric,2.2,25.50,90.0,Top
D5,SK9822-2020,LED_SK9822_2020Metric,5.0,28.00,0.0,Top
C5,100nF,C_0402_1005Metric,2.2,28.00,90.0,Top
D6,SK9822-2020,LED_SK9822_2020Metric,5.0,30.50,0.0,Top
C6,100nF,C_0402_1005Metric,2.2,30.50,90.0,Top
D7,SK9822-2020,LED_SK9822_2020Metric,5.0,33.00,0.0,Top
C7,100nF,C_0402_1005Metric,2.2,33.00,90.0,Top
D8,SK9822-2020,LED_SK9822_2020Metric,5.0,35.50,0.0,Top
C8,100nF,C_0402_1005Metric,2.2,35.50,90.0,Top
D9,SK9822-2020,LED_SK9822_2020Metric,5.0,38.00,0.0,Top
C9,100nF,C_0402_1005Metric,2.2,38.00,90.0,Top
D10,SK9822-2020,LED_SK9822_2020Metric,5.0,40.50,0.0,Top
C10,100nF,C_0402_1005Metric,2.2,40.50,90.0,Top
D11,SK9822-2020,LED_SK9822_2020Metric,5.0,43.00,0.0,Top
C11,100nF,C_0402_1005Metric,2.2,43.00,90.0,Top
D12,SK9822-2020,LED_SK9822_2020Metric,5.0,45.50,0.0,Top
C12,100nF,C_0402_1005Metric,2.2,45.50,90.0,Top
D13,SK9822-2020,LED_SK9822_2020Metric,5.0,48.00,0.0,Top
C13,100nF,C_0402_1005Metric,2.2,48.00,90.0,Top
D14,SK9822-2020,LED_SK9822_2020Metric,5.0,50.50,0.0,Top
C14,100nF,C_0402_1005Metric,2.2,50.50,90.0,Top
D15,SK9822-2020,LED_SK9822_2020Metric,5.0,53.00,0.0,Top
C15,100nF,C_0402_1005Metric,2.2,53.00,90.0,Top
D16,SK9822-2020,LED_SK9822_2020Metric,5.0,55.50,0.0,Top
C16,100nF,C_0402_1005Metric,2.2,55.50,90.0,Top
D17,SK9822-2020,LED_SK9822_2020Metric,5.0,58.00,0.0,Top
C17,100nF,C_0402_1005Metric,2.2,58.00,90.0,Top
D18,SK9822-2020,LED_SK9822_2020Metric,5.0,60.50,0.0,Top
C18,100nF,C_0402_1005Metric,2.2,60.50,90.0,Top
D19,SK9822-2020,LED_SK9822_2020Metric,5.0,63.00,0.0,Top
C19,100nF,C_0402_1005Metric,2.2,63.00,90.0,Top
D20,SK9822-2020,LED_SK9822_2020Metric,5.0,65.50,0.0,Top
C20,100nF,C_0402_1005Metric,2.2,65.50,90.0,Top
D21,SK9822-2020,LED_SK9822_2020Metric,5.0,68.00,0.0,Top
C21,100nF,C_0402_1005Metric,2.2,68.00,90.0,Top
D22,SK9822-2020,LED_SK9822_2020Metric,5.0,70.50,0.0,Top
C22,100nF,C_0402_1005Metric,2.2,70.50,90.0,Top
D23,SK9822-2020,LED_SK9822_2020Metric,5.0,73.00,0.0,Top
C23,100nF,C_0402_1005Metric,2.2,73.00,90.0,Top
D24,SK9822-2020,LED_SK9822_2020Metric,5.0,75.50,0.0,Top
C24,100nF,C_0402_1005Metric,2.2,75.50,90.0,Top
D25,SK9822-2020,LED_SK9822_2020Metric,5.0,78.00,0.0,Top
C25,100nF,C_0402_1005Metric,2.2,78.00,90.0,Top
D26,SK9822-2020,LED_SK9822_2020Metric,5.0,80.50,0.0,Top
C26,100nF,C_0402_1005Metric,2.2,80.50,90.0,Top
D27,SK9822-2020,LED_SK9822_2020Metric,5.0,83.00,0.0,Top
C27,100nF,C_0402_1005Metric,2.2,83.00,90.0,Top
D28,SK9822-2020,LED_SK9822_2020Metric,5.0,85.50,0.0,Top
C28,100nF,C_0402_1005Metric,2.2,85.50,90.0,Top
D29,SK9822-2020,LED_SK9822_2020Metric,5.0,88.00,0.0,Top
C29,100nF,C_0402_1005Metric,2.2,88.00,90.0,Top
D30,SK9822-2020,LED_SK9822_2020Metric,5.0,90.50,0.0,Top
C30,100nF,C_0402_1005Metric,2.2,90.50,90.0,Top
D31,SK9822-2020,LED_SK9822_2020Metric,5.0,93.00,0.0,Top
C31,100nF,C_0402_1005Metric,2.2,93.00,90.0,Top
D32,SK9822-2020,LED_SK9822_2020Metric,5.0,95.50,0.0,Top
C32,100nF,C_0402_1005Metric,2.2,95.50,90.0,Top
D33,SK9822-2020,LED_SK9822_2020Metric,5.0,98.00,0.0,Top
C33,100nF,C_0402_1005Metric,2.2,98.00,90.0,Top
D34,SK9822-2020,LED_SK9822_2020Metric,5.0,100.50,0.0,Top
C34,100nF,C_0402_1005Metric,2.2,100.50,90.0,Top
D35,SK9822-2020,LED_SK9822_2020Metric,5.0,103.00,0.0,Top
C35,100nF,C_0402_1005Metric,2.2,103.00,90.0,Top
D36,SK9822-2020,LED_SK9822_2020Metric,5.0,105.50,0.0,Top
C36,100nF,C_0402_1005Metric,2.2,105.50,90.0,Top
D37,SK9822-2020,LED_SK9822_2020Metric,5.0,108.00,0.0,Top
C37,100nF,C_0402_1005Metric,2.2,108.00,90.0,Top
D38,SK9822-2020,LED_SK9822_2020Metric,5.0,110.50,0.0,Top
C38,100nF,C_0402_1005Metric,2.2,110.50,90.0,Top
D39,SK9822-2020,LED_SK9822_2020Metric,5.0,113.00,0.0,Top
C39,100nF,C_0402_1005Metric,2.2,113.00,90.0,Top
D40,SK9822-2020,LED_SK9822_2020Metric,5.0,115.50,0.0,Top
C40,100nF,C_0402_1005Metric,2.2,115.50,90.0,Top
D41,SK9822-2020,LED_SK9822_2020Metric,5.0,118.00,0.0,Top
C41,100nF,C_0402_1005Metric,2.2,118.00,90.0,Top
D42,SK9822-2020,LED_SK9822_2020Metric,5.0,120.50,0.0,Top
C42,100nF,C_0402_1005Metric,2.2,120.50,90.0,Top
D43,SK9822-2020,LED_SK9822_2020Metric,5.0,123.00,0.0,Top
C43,100nF,C_0402_1005Metric,2.2,123.00,90.0,Top
D44,SK9822-2020,LED_SK9822_2020Metric,5.0,125.50,0.0,Top
C44,100nF,C_0402_1005Metric,2.2,125.50,90.0,Top
D45,SK9822-2020,LED_SK9822_2020Metric,5.0,128.00,0.0,Top
C45,100nF,C_0402_1005Metric,2.2,128.00,90.0,Top
D46,SK9822-2020,LED_SK9822_2020Metric,5.0,130.50,0.0,Top
C46,100nF,C_0402_1005Metric,2.2,130.50,90.0,Top
D47,SK9822-2020,LED_SK9822_2020Metric,5.0,133.00,0.0,Top
C47,100nF,C_0402_1005Metric,2.2,133.00,90.0,Top
D48,SK9822-2020,LED_SK9822_2020Metric,5.0,135.50,0.0,Top
C48,100nF,C_0402_1005Metric,2.2,135.50,90.0,Top
D49,SK9822-2020,LED_SK9822_2020Metric,5.0,138.00,0.0,Top
C49,100nF,C_0402_1005Metric,2.2,138.00,90.0,Top
D50,SK9822-2020,LED_SK9822_2020Metric,5.0,140.50,0.0,Top
C50,100nF,C_0402_1005Metric,2.2,140.50,90.0,Top
D51,SK9822-2020,LED_SK9822_2020Metric,5.0,143.00,0.0,Top
C51,100nF,C_0402_1005Metric,2.2,143.00,90.0,Top
D52,SK9822-2020,LED_SK9822_2020Metric,5.0,145.50,0.0,Top
C52,100nF,C_0402_1005Metric,2.2,145.50,90.0,Top
D53,SK9822-2020,LED_SK9822_2020Metric,5.0,148.00,0.0,Top
C53,100nF,C_0402_1005Metric,2.2,148.00,90.0,Top
D54,SK9822-2020,LED_SK9822_2020Metric,5.0,150.50,0.0,Top
C54,100nF,C_0402_1005Metric,2.2,150.50,90.0,Top
D55,SK9822-2020,LED_SK9822_2020Metric,5.0,153.00,0.0,Top
C55,100nF,C_0402_1005Metric,2.2,153.00,90.0,Top
D56,SK9822-2020,LED_SK9822_2020Metric,5.0,155.50,0.0,Top
C56,100nF,C_0402_1005Metric,2.2,155.50,90.0,Top
D57,SK9822-2020,LED_SK9822_2020Metric,5.0,158.00,0.0,Top
C57,100nF,C_0402_1005Metric,2.2,158.00,90.0,Top
D58,SK9822-2020,LED_SK9822_2020Metric,5.0,160.50,0.0,Top
C58,100nF,C_0402_1005Metric,2.2,160.50,90.0,Top
D59,SK9822-2020,LED_SK9822_2020Metric,5.0,163.00,0.0,Top
C59,100nF,C_0402_1005Metric,2.2,163.00,90.0,Top
D60,SK9822-2020,LED_SK9822_2020Metric,5.0,165.50,0.0,Top
C60,100nF,C_0402_1005Metric,2.2,165.50,90.0,Top
D61,SK9822-2020,LED_SK9822_2020Metric,5.0,168.00,0.0,Top
C61,100nF,C_0402_1005Metric,2.2,168.00,90.0,Top
D62,SK9822-2020,LED_SK9822_2020Metric,5.0,170.50,0.0,Top
C62,100nF,C_0402_1005Metric,2.2,170.50,90.0,Top
D63,SK9822-2020,LED_SK9822_2020Metric,5.0,173.00,0.0,Top
C63,100nF,C_0402_1005Metric,2.2,173.00,90.0,Top
D64,SK9822-2020,LED_SK9822_2020Metric,5.0,175.50,0.0,Top
C64,100nF,C_0402_1005Metric,2.2,175.50,90.0,Top
D65,SK9822-2020,LED_SK9822_2020Metric,5.0,178.00,0.0,Top
C65,100nF,C_0402_1005Metric,2.2,178.00,90.0,Top
D66,SK9822-2020,LED_SK9822_2020Metric,5.0,180.50,0.0,Top
C66,100nF,C_0402_1005Metric,2.2,180.50,90.0,Top
D67,SK9822-2020,LED_SK9822_2020Metric,5.0,183.00,0.0,Top
C67,100nF,C_0402_1005Metric,2.2,183.00,90.0,Top
D68,SK9822-2020,LED_SK9822_2020Metric,5.0,185.50,0.0,Top
C68,100nF,C_0402_1005Metric,2.2,185.50,90.0,Top
D69,SK9822-2020,LED_SK9822_2020Metric,5.0,188.00,0.0,Top
C69,100nF,C_0402_1005Metric,2.2,188.00,90.0,Top
D70,SK9822-2020,LED_SK9822_2020Metric,5.0,190.50,0.0,Top
C70,100nF,C_0402_1005Metric,2.2,190.50,90.0,Top
D71,SK9822-2020,LED_SK9822_2020Metric,5.0,193.00,0.0,Top
C71,100nF,C_0402_1005Metric,2.2,193.00,90.0,Top
D72,SK9822-2020,LED_SK9822_2020Metric,5.0,195.50,0.0,Top
C72,100nF,C_0402_1005Metric,2.2,195.50,90.0,Top
D73,SK9822-2020,LED_SK9822_2020Metric,5.0,198.00,0.0,Top
C73,100nF,C_0402_1005Metric,2.2,198.00,90.0,Top
D74,SK9822-2020,LED_SK9822_2020Metric,5.0,200.50,0.0,Top
C74,100nF,C_0402_1005Metric,2.2,200.50,90.0,Top
D75,SK9822-2020,LED_SK9822_2020Metric,5.0,203.00,0.0,Top
C75,100nF,C_0402_1005Metric,2.2,203.00,90.0,Top
D76,SK9822-2020,LED_SK9822_2020Metric,5.0,205.50,0.0,Top
C76,100nF,C_0402_1005Metric,2.2,205.50,90.0,Top
D77,SK9822-2020,LED_SK9822_2020Metric,5.0,208.00,0.0,Top
C77,100nF,C_0402_1005Metric,2.2,208.00,90.0,Top
D78,SK9822-2020,LED_SK9822_2020Metric,5.0,210.50,0.0,Top
C78,100nF,C_0402_1005Metric,2.2,210.50,90.0,Top
D79,SK9822-2020,LED_SK9822_2020Metric,5.0,213.00,0.0,Top
C79,100nF,C_0402_1005Metric,2.2,213.00,90.0,Top
D80,SK9822-2020,LED_SK9822_2020Metric,5.0,215.50,0.0,Top
C80,100nF,C_0402_1005Metric,2.2,215.50,90.0,Top
D81,SK9822-2020,LED_SK9822_2020Metric,5.0,218.00,0.0,Top
C81,100nF,C_0402_1005Metric,2.2,218.00,90.0,Top
D82,SK9822-2020,LED_SK9822_2020Metric,5.0,220.50,0.0,Top
C82,100nF,C_0402_1005Metric,2.2,220.50,90.0,Top
D83,SK9822-2020,LED_SK9822_2020Metric,5.0,223.00,0.0,Top
C83,100nF,C_0402_1005Metric,2.2,223.00,90.0,Top
D84,SK9822-2020,LED_SK9822_2020Metric,5.0,225.50,0.0,Top
C84,100nF,C_0402_1005Metric,2.2,225.50,90.0,Top
D85,SK9822-2020,LED_SK9822_2020Metric,5.0,228.00,0.0,Top
C85,100nF,C_0402_1005Metric,2.2,228.00,90.0,Top
D86,SK9822-2020,LED_SK9822_2020Metric,5.0,230.50,0.0,Top
C86,100nF,C_0402_1005Metric,2.2,230.50,90.0,Top
D87,SK9822-2020,LED_SK9822_2020Metric,5.0,233.00,0.0,Top
C87,100nF,C_0402_1005Metric,2.2,233.00,90.0,Top
D88,SK9822-2020,LED_SK9822_2020Metric,5.0,235.50,0.0,Top
C88,100nF,C_0402_1005Metric,2.2,235.50,90.0,Top
D89,SK9822-2020,LED_SK9822_2020Metric,5.0,238.00,0.0,Top
C89,100nF,C_0402_1005Metric,2.2,238.00,90.0,Top
D90,SK9822-2020,LED_SK9822_2020Metric,5.0,240.50,0.0,Top
C90,100nF,C_0402_1005Metric,2.2,240.50,90.0,Top
D91,SK9822-2020,LED_SK9822_2020Metric,5.0,243.00,0.0,Top
C91,100nF,C_0402_1005Metric,2.2,243.00,90.0,Top
D92,SK9822-2020,LED_SK9822_2020Metric,5.0,245.50,0.0,Top
C92,100nF,C_0402_1005Metric,2.2,245.50,90.0,Top
D93,SK9822-2020,LED_SK9822_2020Metric,5.0,248.00,0.0,Top
C93,100nF,C_0402_1005Metric,2.2,248.00,90.0,Top
D94,SK9822-2020,LED_SK9822_2020Metric,5.0,250.50,0.0,Top
C94,100nF,C_0402_1005Metric,2.2,250.50,90.0,Top
D95,SK9822-2020,LED_SK9822_2020Metric,5.0,253.00,0.0,Top
C95,100nF,C_0402_1005Metric,2.2,253.00,90.0,Top
D96,SK9822-2020,LED_SK9822_2020Metric,5.0,255.50,0.0,Top
C96,100nF,C_0402_1005Metric,2.2,255.50,90.0,Top
D97,SK9822-2020,LED_SK9822_2020Metric,5.0,258.00,0.0,Top
C97,100nF,C_0402_1005Metric,2.2,258.00,90.0,Top
D98,SK9822-2020,LED_SK9822_2020Metric,5.0,260.50,0.0,Top
C98,100nF,C_0402_1005Metric,2.2,260.50,90.0,Top
D99,SK9822-2020,LED_SK9822_2020Metric,5.0,263.00,0.0,Top
C99,100nF,C_0402_1005Metric,2.2,263.00,90.0,Top
D100,SK9822-2020,LED_SK9822_2020Metric,5.0,265.50,0.0,Top
C100,100nF,C_0402_1005Metric,2.2,265.50,90.0,Top
D101,SK9822-2020,LED_SK9822_2020Metric,5.0,268.00,0.0,Top
C101,100nF,C_0402_1005Metric,2.2,268.00,90.0,Top
D102,SK9822-2020,LED_SK9822_2020Metric,5.0,270.50,0.0,Top
C102,100nF,C_0402_1005Metric,2.2,270.50,90.0,Top
D103,SK9822-2020,LED_SK9822_2020Metric,5.0,273.00,0.0,Top
C103,100nF,C_0402_1005Metric,2.2,273.00,90.0,Top
D104,SK9822-2020,LED_SK9822_2020Metric,5.0,275.50,0.0,Top
C104,100nF,C_0402_1005Metric,2.2,275.50,90.0,Top
D105,SK9822-2020,LED_SK9822_2020Metric,5.0,278.00,0.0,Top
